ID,Cluster,MT Score,YAP,PI3KAKT,TGFB,WNT,MAPK,FOXO,TNF,NOTCH,HIF1,CD8
TCGA.2G.AAFL.01,Cluster II,3060.134649,2676.21167,2455.130933,3211.573017,2244.479333,2505.473838,3392.968093,2834.658405,4309.248656,4215.571341,-1726.30342
TCGA.2G.AAFM.01,Cluster II,2620.971676,2721.527141,2578.029847,2970.386207,2277.807314,2642.593417,3307.291504,3037.804895,4425.863001,3975.324417,1101.808515
TCGA.2G.AAFN.01,Cluster II,2703.404203,3119.911032,2437.310402,2877.673605,2434.910903,2599.539041,3118.554257,2485.082251,4578.189272,3794.748995,-1853.936579
TCGA.2G.AAFO.01,Cluster II,3244.328565,2936.842522,2695.163782,3124.029214,2384.13254,2833.812601,3606.956765,3213.413076,4351.91828,4155.85943,-1120.152504
TCGA.2G.AAFV.01,Cluster II,3905.648289,3423.03438,3000.840386,4280.27194,2935.505349,2649.813121,3563.232395,2824.751531,4701.285611,3922.355547,-4175.339597
TCGA.2G.AAFY.01,Cluster II,3244.217466,3151.177437,2868.342828,3565.795844,2569.432301,2803.24924,3734.347871,3514.081543,4792.477011,4427.153909,477.6213839
TCGA.2G.AAG0.01,Cluster II,2954.987233,3222.639494,2674.571887,3244.991868,2514.083479,2770.889166,3653.747746,3095.963381,4740.453405,4271.241062,-2292.042883
TCGA.2G.AAG7.01,Cluster II,2989.574913,3399.814529,2756.17367,3518.838423,2704.995694,2649.456233,3547.740778,2483.485757,4676.293692,4211.424209,-2138.935089
TCGA.2G.AAG8.01,Cluster II,2826.231,2898.805498,2456.717632,3183.320029,2365.291866,2652.237465,3390.287976,2957.35725,4355.877947,4218.651603,-3118.800836
TCGA.2G.AAG9.01,Cluster II,2595.032985,2555.513715,2377.741398,2645.934575,2027.852853,2325.917448,3490.624911,2936.038014,4105.629056,4499.643186,178.6363476
TCGA.2G.AAGA.01,Cluster II,2841.662499,3180.745874,2513.012156,3286.435189,2687.632138,2557.386231,3408.589246,2270.485923,4506.76907,4161.141749,-3910.526501
TCGA.2G.AAGC.01,Cluster II,4377.889354,3811.588741,3002.258756,4006.228882,3025.962224,2856.111592,3895.87188,3254.395961,4819.806306,4780.797529,1293.432696
TCGA.2G.AAGE.01,Cluster II,4052.033947,3529.853427,2847.506929,3795.560502,2773.355088,2847.233849,3722.313974,2845.705107,4606.140091,4364.660174,-3357.540868
TCGA.2G.AAGI.05,Cluster II,2734.319788,2599.31481,2509.167957,2647.290737,2383.818205,2420.452797,3601.157475,2779.621971,4320.057399,4220.371363,1895.761105
TCGA.2G.AAGJ.01,Cluster II,2951.466687,3135.088689,2603.996363,3165.880395,2582.688423,2695.705687,3491.677683,2954.272501,4272.481018,4304.756362,-1567.359775
TCGA.2G.AAGK.01,Cluster II,3784.795103,3569.955782,2871.750143,3629.730537,2859.050162,2749.688058,3650.629695,3262.488327,4673.36333,4590.485124,-249.3768254
TCGA.2G.AAGM.01,Cluster II,5429.400575,4340.05044,3086.464409,4268.268715,3777.693375,2738.114205,3721.487206,2169.606165,4888.401472,4292.88075,-3394.257924
TCGA.2G.AAGN.01,Cluster II,2690.30921,2987.273976,2363.067896,3153.801546,2340.220952,2491.07364,3410.296136,2833.760709,4282.728817,4238.974524,-2569.565019
TCGA.2G.AAGO.01,Cluster II,2727.233009,3185.123667,2424.152781,3257.778672,2409.730945,2473.239651,3412.035289,2568.77348,4295.333048,4022.676017,-3487.732843
TCGA.2G.AAGT.01,Cluster II,3838.762776,3645.832513,2785.787211,4311.093138,2980.47309,2523.344558,3547.633775,2824.059217,4348.615448,4066.696442,-3476.244052
TCGA.2G.AAGW.01,Cluster II,1848.192265,3079.275831,2170.33118,2747.394942,2346.057043,2515.774192,3495.948296,2090.236901,4331.200573,3757.528511,-4001.751596
TCGA.2G.AAGY.05,Cluster II,2012.88286,2743.534153,2122.143385,2640.502877,2348.94159,2062.378317,3405.044295,2042.969768,4020.165677,3897.267147,-1298.234803
